library_index,age_index,matrix_x,matrix_y,matrix_z,res_x,res_y,res_z
1,1,189,109,362,0.1326,0.1326,0.1326
1,2,189,109,362,0.1326,0.1326,0.1326
1,3,296,128,283,0.1326,0.1326,0.28
1,4,296,128,283,0.1326,0.1326,0.28
1,5,311,119,311,0.17,0.17,0.3856
1,6,311,119,311,0.17,0.17,0.3856
1,7,351,115,327,0.198,0.198,0.4849
1,8,351,115,327,0.198,0.198,0.4849
1,9,338,122,323,0.24,0.24,0.5656
1,10,355,117,335,0.25,0.25,0.5663
1,11,352,122,342,0.252,0.252,0.54
1,12,302,99,450,0.3158,0.3158,0.4414
2,1,177,109,362,0.1326,0.1326,0.1326
2,2,177,109,362,0.1326,0.1326,0.1326
2,3,200,128,277,0.1326,0.1326,0.28
2,4,200,128,277,0.1326,0.1326,0.28
2,5,212,119,290,0.17,0.17,0.3856
2,6,212,119,290,0.17,0.17,0.3856
2,7,217,115,293,0.198,0.198,0.4849
2,8,217,115,293,0.198,0.198,0.4849
2,9,205,122,289,0.24,0.24,0.5656
2,10,209,116,297,0.25,0.25,0.5663
2,11,197,122,307,0.252,0.252,0.54
2,12,183,99,400,0.3158,0.3158,0.4414
3,1,190,132,362,0.1326,0.1326,0.1326
3,2,190,132,362,0.1326,0.1326,0.1326
3,3,269,225,277,0.1326,0.1326,0.28
3,4,269,225,277,0.1326,0.1326,0.28
3,5,295,232,299,0.17,0.17,0.3856
3,6,295,232,299,0.17,0.17,0.3856
3,7,316,266,314,0.198,0.198,0.4849
3,8,316,266,314,0.198,0.198,0.4849
3,9,296,247,310,0.24,0.24,0.5656
3,10,301,253,323,0.25,0.25,0.5663
3,11,294,254,328,0.252,0.252,0.54
3,12,260,213,432,0.3158,0.3158,0.4414
