age_group,height_cm,weight_kg,drf,matrix_x,matrix_y,matrix_z,res_x,res_y,res_z
1,50,5,00F,173,105,358,0.1326,0.1326,0.1326
1,65,5,00F,219,134,455,0.1326,0.1326,0.1326
1,65,10,01F,134,132,231,0.1326,0.1326,0.28
1,75,10,01F,134,129,267,0.1326,0.1326,0.28
1,85,10,01F,134,129,304,0.1326,0.1326,0.28
1,85,15,01F,154,131,304,0.1326,0.1326,0.28
1,95,10,01F,134,114,341,0.1326,0.1326,0.28
1,95,15,05F,143,100,247,0.17,0.17,0.3856
1,95,20,05F,161,118,247,0.17,0.17,0.3856
1,105,15,05F,151,107,273,0.17,0.17,0.3856
1,105,20,05F,154,107,273,0.17,0.17,0.3856
1,105,25,05F,154,125,273,0.17,0.17,0.3856
1,115,15,05F,144,115,299,0.17,0.17,0.3856
1,115,20,05F,151,115,299,0.17,0.17,0.3856
1,115,25,05F,156,123,299,0.17,0.17,0.3856
1,115,30,05F,161,134,299,0.17,0.17,0.3856
1,125,20,10F,131,102,259,0.198,0.198,0.4849
1,125,25,10F,145,110,259,0.198,0.198,0.4849
1,125,30,10F,149,116,259,0.198,0.198,0.4849
1,125,35,10F,149,120,259,0.198,0.198,0.4849
1,125,40,10F,150,130,259,0.198,0.198,0.4849
1,135,25,10F,145,106,279,0.198,0.198,0.4849
1,135,30,10F,150,113,279,0.198,0.198,0.4849
1,135,35,10F,154,116,279,0.198,0.198,0.4849
1,135,40,10F,154,126,279,0.198,0.198,0.4849
1,135,45,10F,156,140,279,0.198,0.198,0.4849
1,135,50,10F,160,152,279,0.198,0.198,0.4849
1,145,30,10F,151,114,300,0.198,0.198,0.4849
1,145,35,10F,156,118,300,0.198,0.198,0.4849
1,145,40,10F,163,120,300,0.198,0.198,0.4849
1,145,45,10F,165,124,300,0.198,0.198,0.4849
1,145,50,10F,166,138,300,0.198,0.198,0.4849
1,145,55,10F,167,149,300,0.198,0.198,0.4849
1,145,60,10F,167,155,300,0.198,0.198,0.4849
1,145,65,10F,172,171,300,0.198,0.198,0.4849
1,145,70,10F,178,180,300,0.198,0.198,0.4849
1,155,35,15F,126,99,275,0.24,0.24,0.5656
1,155,40,15F,134,104,275,0.24,0.24,0.5656
1,155,45,15F,140,110,275,0.24,0.24,0.5656
1,155,50,15F,147,116,275,0.24,0.24,0.5656
1,155,55,15F,159,124,275,0.24,0.24,0.5656
1,155,60,15F,160,129,275,0.24,0.24,0.5656
1,155,65,15F,160,129,275,0.24,0.24,0.5656
1,155,70,15F,162,134,275,0.24,0.24,0.5656
1,155,75,15F,164,144,275,0.24,0.24,0.5656
1,155,80,15F,164,146,275,0.24,0.24,0.5656
1,155,85,15F,164,159,275,0.24,0.24,0.5656
1,155,90,15F,165,168,275,0.24,0.24,0.5656
1,155,95,15F,165,174,275,0.24,0.24,0.5656
1,165,40,15F,119,104,293,0.24,0.24,0.5656
1,165,45,15F,127,115,293,0.24,0.24,0.5656
1,165,50,15F,134,119,293,0.24,0.24,0.5656
1,165,55,15F,137,124,293,0.24,0.24,0.5656
1,165,60,15F,149,127,293,0.24,0.24,0.5656
1,165,65,15F,158,131,293,0.24,0.24,0.5656
1,165,70,15F,158,135,293,0.24,0.24,0.5656
1,165,75,15F,158,144,293,0.24,0.24,0.5656
1,165,80,15F,161,157,293,0.24,0.24,0.5656
1,165,85,15F,161,157,293,0.24,0.24,0.5656
1,165,90,15F,161,166,293,0.24,0.24,0.5656
1,165,95,15F,163,174,293,0.24,0.24,0.5656
1,165,100,15F,164,182,293,0.24,0.24,0.5656
1,165,105,15F,164,182,293,0.24,0.24,0.5656
1,165,110,15F,173,182,293,0.24,0.24,0.5656
1,165,115,15F,176,201,293,0.24,0.24,0.5656
1,175,50,15F,129,114,310,0.24,0.24,0.5656
1,175,55,15F,136,119,310,0.24,0.24,0.5656
1,175,60,15F,143,127,310,0.24,0.24,0.5656
1,175,65,15F,150,130,310,0.24,0.24,0.5656
1,175,70,15F,157,133,310,0.24,0.24,0.5656
1,175,75,15F,164,140,310,0.24,0.24,0.5656
1,175,80,15F,164,142,310,0.24,0.24,0.5656
1,175,85,15F,164,153,310,0.24,0.24,0.5656
1,175,90,15F,164,157,310,0.24,0.24,0.5656
1,175,95,15F,166,168,310,0.24,0.24,0.5656
1,175,100,15F,166,170,310,0.24,0.24,0.5656
1,175,105,15F,168,176,310,0.24,0.24,0.5656
